English			Swahili
beautiful		%arembo 
good			%azuri
good			%Aema
nice			%azuri
happy			%Aema
pretty			%arembo
bad				%abaya
raw				%abichi
unripe			%abichi
expensive		bei_ghali_sana
uncooked		%abichi
rotten			%abovu
unhealthy		%abovu
few				%achache
obscene			%achafu
dirty			%achafu
unclean			%achafu
bitter			%achungu
sour			%achungu
small			%adogo
younger			%adogo
insignificant	%adogo
old				%akongwe
red				%aekundu
lovely			%azuri
cute			%azuri
attractive		%azuri
big				%akubwa
a_lot			%aingi
a_lot_of		%aingi
many			%aingi
a_few			%achache
a_few_of		%achache
some			%achache
tall			%arefu
short			%afupi
old				%azee
new				%apya
young			%achanga
few				%ahaba
plenty			%atele
black			%aeusi
blue			bluu
brown			hudhurungi
gray			kijivu
